,Problem,Step,Skill,Opportunity,Predicted Error Rate (Original),Student_ID,Success,Calculated Opportunity,Success_opportunity,Fail_opportunity
64,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,3,0.5176,1,1,3,1,2
65,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,4,0.4893,1,1,4,2,2
66,DESIGNING_A_QUILT,(AREA QUESTION2),ALT:TRIANGLE-AREA,5,0.4081,1,0,5,2,3
67,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,5,0.461,1,1,5,3,2
68,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,6,0.433,1,1,6,4,2
69,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,7,0.4053,1,1,7,5,2
70,DESIGNING_A_QUILT,(AREA QUESTION3),ALT:TRIANGLE-AREA,6,0.3979,1,1,6,3,3
71,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,8,0.3783,1,0,8,5,3
72,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,9,0.352,1,1,9,6,3
73,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,10,0.3266,1,1,10,7,3
74,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,1,0.8039,1,0,1,0,1
75,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,1,0.7438,1,1,1,1,0
76,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,2,0.7139,1,1,2,2,0
77,TRIANGLE_AREA,(AREA QUESTION1),ALT:TRIANGLE-AREA,7,0.3879,1,1,7,4,3
78,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,3,0.6386,1,0,3,1,2
79,TRIANGLE_BASE,(BASE QUESTION3),ALT:TRIANGLE-SIDE,4,0.6299,1,0,4,1,3
80,DESIGNING_A_QUILT,(AREA QUESTION1),ALT:TRIANGLE-AREA,8,0.3779,1,1,8,5,3
81,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,11,0.3022,1,1,11,8,3
82,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,12,0.2788,1,1,12,9,3
83,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,13,0.2566,1,1,13,10,3
84,DESIGNING_A_QUILT,(AREA QUESTION2),ALT:TRIANGLE-AREA,9,0.368,1,1,9,6,3
85,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,14,0.2355,1,0,14,10,4
86,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,15,0.2157,1,1,15,11,4
87,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),ALT:COMPOSE-BY-MULTIPLICATION,16,0.1972,1,1,16,12,4
88,DESIGNING_A_QUILT,(AREA QUESTION3),ALT:TRIANGLE-AREA,10,0.3582,1,1,10,7,3
89,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,17,0.1798,1,1,17,13,4
90,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,18,0.1637,1,1,18,14,4
91,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),ALT:COMPOSE-BY-MULTIPLICATION,19,0.1488,1,1,19,15,4
92,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,2,0.7346,1,0,2,0,2
93,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,3,0.6821,1,1,3,3,0
94,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,4,0.6485,1,1,4,4,0
95,TRIANGLE_ABC,(AREA QUESTION1),ALT:TRIANGLE-AREA,11,0.3486,1,0,11,7,4
96,TRIANGLE_ABC,(BASE QUESTION3),ALT:TRIANGLE-SIDE,5,0.6212,1,0,5,1,4
97,TRIANGLE_ABC,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,6,0.6123,1,0,6,1,5
98,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,7,0.6034,1,0,7,1,6
99,TRIANGLE_BASE,(BASE QUESTION3),ALT:TRIANGLE-SIDE,8,0.5944,1,0,8,1,7
100,TRIANGLE_ABC,(AREA QUESTION1),ALT:TRIANGLE-AREA,12,0.339,1,0,12,7,5
101,TRIANGLE_ABC,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,9,0.5854,1,0,9,1,8
102,TRIANGLE_ABC,(BASE QUESTION3),ALT:TRIANGLE-SIDE,10,0.5763,1,1,10,2,8
103,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,11,0.5671,1,1,11,3,8
104,TRIANGLE_BASE,(BASE QUESTION3),ALT:TRIANGLE-SIDE,12,0.5579,1,0,12,3,9
105,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,3,0.6516,1,1,3,1,2
106,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,5,0.6133,1,0,5,4,1
107,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,6,0.5769,1,0,6,4,2
108,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,4,0.5581,1,1,4,2,2
109,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,7,0.5397,1,1,7,5,2
110,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,8,0.502,1,0,8,5,3
111,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,5,0.4604,1,1,5,3,2
112,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,9,0.4643,1,0,9,5,4
113,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,10,0.4269,1,1,10,6,4
114,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,6,0.3656,1,1,6,4,2
115,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,7,0.2802,1,0,7,4,3
116,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,11,0.3904,1,0,11,6,5
117,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,12,0.3551,1,0,12,6,6
118,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,8,0.2082,1,1,8,5,3
119,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,13,0.3213,1,1,13,7,6
120,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,14,0.2893,1,1,14,8,6
121,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,9,0.1508,1,1,9,6,3
122,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,15,0.2592,1,1,15,9,6
123,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,16,0.2313,1,1,16,10,6
124,CIRCLE_O,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,1,0.598,1,0,1,0,1
125,CIRCLE_O,(AREA QUESTION1),ALT:CIRCLE-AREA,1,0.5564,1,1,1,1,0
126,CIRCLE_O,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,1,0.4638,1,1,1,1,0
127,CIRCLE_O,(DIAMETER QUESTION2),ALT:CIRCLE-DIAMETER,1,0.5341,1,0,1,0,1
128,CIRCLE_O,(AREA QUESTION2),ALT:CIRCLE-AREA,2,0.5305,1,0,2,1,1
129,CIRCLE_O,(CIRCUMFERENCE QUESTION2),ALT:CIRCLE-CIRCUMFERENCE,2,0.4458,1,1,2,2,0
130,CIRCLE_O,(RADIUS QUESTION3),ALT:CIRCLE-RADIUS,2,0.587,1,0,2,0,2
131,CIRCLE_O,(DIAMETER QUESTION3),ALT:CIRCLE-DIAMETER,2,0.5157,1,0,2,0,2
132,CIRCLE_O,(CIRCUMFERENCE QUESTION3),ALT:CIRCLE-CIRCUMFERENCE,3,0.4279,1,1,3,3,0
133,CIRCLE_O,(DIAMETER QUESTION4),ALT:CIRCLE-DIAMETER,3,0.4973,1,1,3,1,2
134,CIRCLE_O,(RADIUS QUESTION4),ALT:CIRCLE-RADIUS,3,0.5759,1,0,3,0,3
135,CIRCLE_O,(AREA QUESTION4),ALT:CIRCLE-AREA,3,0.5045,1,0,3,1,2
136,LAWN_SPRINKLER,(AREA QUESTION1),ALT:CIRCLE-AREA,4,0.4785,1,0,4,1,3
137,COVERING_POOL,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,4,0.5647,1,0,4,0,4
138,COVERING_POOL,(DIAMETER QUESTION1),ALT:CIRCLE-DIAMETER,4,0.479,1,0,4,1,3
139,DOG_ON_A_ROPE,(AREA QUESTION1),ALT:CIRCLE-AREA,5,0.4525,1,0,5,1,4
140,DOG_ON_A_ROPE,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,4,0.4102,1,0,4,3,1
141,LAWN_SPRINKLER_2,(TOTAL-LAWN-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,16,0.1546,1,0,16,13,3
142,LAWN_SPRINKLER_2,(WATERED-LAWN-AREA QUESTION1),ALT:CIRCLE-AREA,6,0.4269,1,0,6,1,5
143,LAWN_SPRINKLER_2,(UNWATERED-LAWN-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION,7,0.4422,1,0,7,5,2
144,CIRCLE_DIAMETER,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,5,0.5534,1,0,5,0,5
145,CIRCLE_DIAMETER,(AREA QUESTION1),ALT:CIRCLE-AREA,7,0.4016,1,0,7,1,6
146,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,5,0.3928,1,0,5,3,2
147,CIRCLE_RADIUS,(DIAMETER QUESTION2),ALT:CIRCLE-DIAMETER,5,0.4607,1,0,5,1,4
148,CIRCLE_RADIUS,(AREA QUESTION2),ALT:CIRCLE-AREA,8,0.3768,1,0,8,1,7
149,CIRCLE_RADIUS,(CIRCUMFERENCE QUESTION2),ALT:CIRCLE-CIRCUMFERENCE,6,0.3756,1,1,6,4,2
150,CIRCLE_AREA,(RADIUS QUESTION3),ALT:CIRCLE-RADIUS,6,0.5421,1,1,6,1,5
151,CIRCLE_AREA,(DIAMETER QUESTION3),ALT:CIRCLE-DIAMETER,6,0.4424,1,1,6,2,4
152,CIRCLE_AREA,(CIRCUMFERENCE QUESTION3),ALT:CIRCLE-CIRCUMFERENCE,7,0.3587,1,1,7,5,2
153,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,1,0.7655,2,1,1,1,0
154,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,1,0.6981,2,0,1,0,1
155,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,2,0.6653,2,0,2,0,2
156,TRIANGLE_RECTANGLE,(BASE QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,1,0.5174,2,0,1,0,1
157,TRIANGLE_RECTANGLE,(AREA QUESTION1),ALT:TRIANGLE-AREA,1,0.394,2,0,1,0,1
158,DESIGNING_A_QUILT,(AREA QUESTION1),ALT:TRIANGLE-AREA,2,0.384,2,1,2,1,1
159,RECTANGLE_HEIGHT,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,1,0.5654,3,0,1,0,1
160,RECTANGLE_BASE,(BASE QUESTION3),ALT:PARALLELOGRAM-SIDE,2,0.4796,3,0,2,0,2
161,PARALLELOGRAM_HEIGHT,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,3,0.395,3,0,3,0,3
162,TRAPEZOID_ABCD,(AREA QUESTION1),ALT:TRAPEZOID-AREA,1,0.8982,3,0,1,0,1
163,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,1,0.5307,4,0,1,0,1
164,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,1,0.4447,4,1,1,1,0
165,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,2,0.4077,4,1,2,2,0
166,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,2,0.433,4,1,2,1,1
167,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,3,0.3718,4,0,3,2,1
168,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,4,0.3372,4,0,4,2,2
169,PENTAGON_ABCDE,(AREA QUESTION1),ALT:PENTAGON-AREA,3,0.3403,4,1,3,2,1
170,PENTAGON_ABCDE,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,5,0.3043,4,1,5,3,2
171,PENTAGON_ABCDE,(SIDE QUESTION3),ALT:PENTAGON-SIDE,6,0.2733,4,1,6,4,2
172,PENTAGON,(AREA QUESTION1),ALT:PENTAGON-AREA,4,0.2584,4,1,4,3,1
173,PENTAGON,(APOTHEM QUESTION2),ALT:PENTAGON-SIDE,7,0.2444,4,0,7,4,3
174,PENTAGON,(SIDE QUESTION3),ALT:PENTAGON-SIDE,8,0.2175,4,0,8,4,4
175,CIRCLE_O,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,1,0.291,4,1,1,1,0
176,CIRCLE_O,(AREA QUESTION1),ALT:CIRCLE-AREA,1,0.257,4,0,1,0,1
177,CIRCLE_O,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,1,0.1926,4,1,1,1,0
178,CIRCLE_O,(DIAMETER QUESTION2),ALT:CIRCLE-DIAMETER,1,0.2402,4,1,1,1,0
179,CIRCLE_O,(AREA QUESTION2),ALT:CIRCLE-AREA,2,0.2376,4,0,2,0,2
180,CIRCLE_O,(CIRCUMFERENCE QUESTION2),ALT:CIRCLE-CIRCUMFERENCE,2,0.1816,4,1,2,2,0
181,CIRCLE_O,(DIAMETER QUESTION4),ALT:CIRCLE-DIAMETER,2,0.2271,4,1,2,2,0
182,CIRCLE_O,(RADIUS QUESTION4),ALT:CIRCLE-RADIUS,2,0.2816,4,1,2,2,0
183,CIRCLE_O,(AREA QUESTION4),ALT:CIRCLE-AREA,3,0.2193,4,1,3,1,2
184,CIRCLE_O,(DIAMETER QUESTION3),ALT:CIRCLE-DIAMETER,3,0.2144,4,0,3,2,1
185,CIRCLE_O,(RADIUS QUESTION3),ALT:CIRCLE-RADIUS,3,0.2725,4,1,3,3,0
186,CIRCLE_O,(CIRCUMFERENCE QUESTION3),ALT:CIRCLE-CIRCUMFERENCE,3,0.171,4,1,3,3,0
187,LAWN_SPRINKLER,(AREA QUESTION1),ALT:CIRCLE-AREA,4,0.202,4,1,4,2,2
188,COVERING_POOL,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,4,0.2635,4,1,4,4,0
189,COVERING_POOL,(DIAMETER QUESTION1),ALT:CIRCLE-DIAMETER,4,0.2023,4,0,4,2,2
190,DOG_ON_A_ROPE,(AREA QUESTION1),ALT:CIRCLE-AREA,5,0.1857,4,1,5,3,2
191,DOG_ON_A_ROPE,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,4,0.161,4,1,4,4,0
192,LAWN_SPRINKLER_2,(WATERED-LAWN-AREA QUESTION1),ALT:CIRCLE-AREA,6,0.1704,4,1,6,4,2
193,LAWN_SPRINKLER_2,(TOTAL-LAWN-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,1,0.0562,4,1,1,1,0
194,LAWN_SPRINKLER_2,(UNWATERED-LAWN-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION,1,0.1795,4,1,1,1,0
195,CIRCLE_DIAMETER,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,5,0.2547,4,1,5,5,0
196,CIRCLE_DIAMETER,(AREA QUESTION1),ALT:CIRCLE-AREA,7,0.1562,4,1,7,5,2
197,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,5,0.1514,4,1,5,5,0
198,CIRCLE_RADIUS,(DIAMETER QUESTION2),ALT:CIRCLE-DIAMETER,5,0.1907,4,1,5,3,2
199,CIRCLE_RADIUS,(AREA QUESTION2),ALT:CIRCLE-AREA,8,0.143,4,1,8,6,2
200,CIRCLE_RADIUS,(CIRCUMFERENCE QUESTION2),ALT:CIRCLE-CIRCUMFERENCE,6,0.1423,4,1,6,6,0
201,CIRCLE_CIRCUMFERENCE,(DIAMETER QUESTION4),ALT:CIRCLE-DIAMETER,6,0.1796,4,1,6,4,2
202,CIRCLE_CIRCUMFERENCE,(RADIUS QUESTION4),ALT:CIRCLE-RADIUS,6,0.2461,4,1,6,6,0
203,CIRCLE_CIRCUMFERENCE,(AREA QUESTION4),ALT:CIRCLE-AREA,9,0.1307,4,0,9,6,3
204,CIRCLE_AREA,(RADIUS QUESTION3),ALT:CIRCLE-RADIUS,7,0.2378,4,0,7,6,1
205,CIRCLE_AREA,(DIAMETER QUESTION3),ALT:CIRCLE-DIAMETER,7,0.169,4,1,7,5,2
206,CIRCLE_AREA,(CIRCUMFERENCE QUESTION3),ALT:CIRCLE-CIRCUMFERENCE,7,0.1337,4,1,7,7,0
207,COVERING_POOL,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,8,0.2296,4,1,8,7,1
208,COVERING_POOL,(DIAMETER QUESTION1),ALT:CIRCLE-DIAMETER,8,0.1589,4,1,8,6,2
209,CIRCLE_DIAMETER,(RADIUS QUESTION1),ALT:CIRCLE-RADIUS,9,0.2216,4,1,9,8,1
210,CIRCLE_DIAMETER,(AREA QUESTION1),ALT:CIRCLE-AREA,10,0.1193,4,1,10,7,3
211,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),ALT:CIRCLE-CIRCUMFERENCE,8,0.1255,4,1,8,8,0
212,TROGS,(SQUARE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,2,0.0556,4,1,2,2,0
213,TROGS,(TROG-HEIGHT QUESTION1),ALT:TRIANGLE-SIDE,1,0.3444,4,0,1,0,1
214,TROGS,(TROG-AREA QUESTION1),ALT:TRIANGLE-AREA,1,0.1838,4,1,1,1,0
215,TROGS,(SCRAP-METAL-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION,2,0.1795,4,1,2,2,0
216,TROGS,(SQUARE-AREA QUESTION2),ALT:PARALLELOGRAM-AREA,3,0.055,4,1,3,3,0
217,TROGS,(TROG-HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,2,0.336,4,0,2,0,2
